"Country","HDI","HumDev_Categ"
"Senegal",0.494,"Low"
"Haiti",0.493,"Low"
"Uganda",0.493,"Low"
"Sudan",0.49,"Low"
"Togo",0.487,"Low"
"Benin",0.485,"Low"
"Yemen",0.482,"Low"
"Afghanistan",0.479,"Low"
"Malawi",0.476,"Low"
"Côte d'Ivoire",0.474,"Low"
"Djibouti",0.473,"Low"
"Gambia",0.452,"Low"
"Ethiopia",0.448,"Low"
"Mali",0.442,"Low"
"Congo, Democratic Republic of the",0.435,"Low"
"Liberia",0.427,"Low"
"Guinea Bissau",0.424,"Low"
"Eritrea",0.42,"Low"
"Sierra Leone",0.42,"Low"
"Mozambique",0.418,"Low"
"South Sudan",0.418,"Low"
"Guinea",0.414,"Low"
"Burundi",0.404,"Low"
"Burkina Faso",0.402,"Low"
"Chad",0.396,"Low"
"Niger",0.353,"Low"
"Central African Republic",0.352,"Low"
